"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,,,,,,
2010,,,,,,
2011,0.01,,,,,
2012,0.03,0.01,,,,
2013,0.07,0.02,,0.04,0.03,
2014,0.15,0.04,,0.04,0.04,
2015,0.17,0.07,,0.04,0.04,
2016,0.18,0.11,,0.07,0.05,
2017,0.24,0.27,,0.07,0.05,
2018,0.32,0.4,0,0.07,0.05,
2019,0.6,0.6,0,0.06,0.04,
2020,0.93,1.04,0,0.06,0.04,
2021,1.97,2.1,0,0.06,0.03,
2022,3.26,2.86,0,0.06,0.03,
2023,5.62,3.8,0,0.06,0.03,
