"Category","BEV","PHEV","H2","LPG","CNG","LNG"
2008,,,,,,
2009,0.06,,,0.12,,
2010,0.08,,,0.11,,
2011,0.17,0,,0.12,,
2012,0.27,0.01,,0.11,0.01,
2013,0.62,0.02,0,0.02,0,
2014,1.66,0.08,0,0.02,0.01,
2015,2.81,0.39,0,0.02,0.01,
2016,3.8,1.16,0,0.02,0,
2017,5.09,2.18,0,,0.01,
2018,7.27,3.14,0.01,,0.01,
2019,9.56,3.77,0.01,,0.01,
2020,11.82,4.58,0.01,,0.01,
2021,15.66,5.75,0.01,,0.01,
2022,20.27,6.14,0.01,,0.01,
2023,22.01,6.08,0.01,,0.01,
